"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","64","Get operation","tests","Sun Sep 14 15:12:21 GMT 2025","passed","Sun Sep 14 15:12:21 GMT 2025","TestOperations","test_operations","",""
"","205","Create operation","tests","Sun Sep 14 15:12:21 GMT 2025","passed","Sun Sep 14 15:12:21 GMT 2025","TestOperations","test_operations","",""
"","87","Update operation","tests","Sun Sep 14 15:12:21 GMT 2025","passed","Sun Sep 14 15:12:21 GMT 2025","TestOperations","test_operations","",""
"","630","Get operations","tests","Sun Sep 14 15:12:21 GMT 2025","broken","Sun Sep 14 15:12:21 GMT 2025","TestOperations","test_operations","",""
"","278","Delete operation","tests","Sun Sep 14 15:12:21 GMT 2025","passed","Sun Sep 14 15:12:22 GMT 2025","TestOperations","test_operations","",""
